
            Primeiras 500 pesquisas

Tempo gasto: 0.000146000, Posição: 32010
Tempo gasto: 0.000165000, Posição: 32076
Tempo gasto: 0.000267200, Posição: 32142
Tempo gasto: 0.000170500, Posição: 32208
Tempo gasto: 0.000148300, Posição: 32274
Tempo gasto: 0.000150100, Posição: 32340
Tempo gasto: 0.000151300, Posição: 32406
Tempo gasto: 0.000151900, Posição: 32472
Tempo gasto: 0.000151900, Posição: 32538
Tempo gasto: 0.000162800, Posição: 32604
Tempo gasto: 0.000150600, Posição: 32670
Tempo gasto: 0.000151100, Posição: 32736
Tempo gasto: 0.000151500, Posição: 32802
Tempo gasto: 0.000151600, Posição: 32868
Tempo gasto: 0.000153200, Posição: 32934

 O tempo gasto para busca na primeira parte foi: 0.035894200s, e o tempo medio por busca foi: 0.000071788s

            Pesquisas 500 - 1000

Tempo gasto: 0.000158200, Posição: 33000
Tempo gasto: 0.000158100, Posição: 33066
Tempo gasto: 0.000158600, Posição: 33132
Tempo gasto: 0.000156000, Posição: 33198
Tempo gasto: 0.000156100, Posição: 33264
Tempo gasto: 0.000248800, Posição: 33330
Tempo gasto: 0.000170500, Posição: 33396
Tempo gasto: 0.000157300, Posição: 33462
Tempo gasto: 0.000158600, Posição: 33528
Tempo gasto: 0.000157400, Posição: 33594
Tempo gasto: 0.000156500, Posição: 33660
Tempo gasto: 0.000156500, Posição: 33726
Tempo gasto: 0.000158300, Posição: 33792
Tempo gasto: 0.000158800, Posição: 33858
Tempo gasto: 0.000158700, Posição: 33924
Tempo gasto: 0.000159000, Posição: 33990
Tempo gasto: 0.000158900, Posição: 34056
Tempo gasto: 0.000159200, Posição: 34122
Tempo gasto: 0.000170700, Posição: 34188
Tempo gasto: 0.000158700, Posição: 34254
Tempo gasto: 0.000159900, Posição: 34320
Tempo gasto: 0.000159000, Posição: 34386
Tempo gasto: 0.000159800, Posição: 34452
Tempo gasto: 0.000160100, Posição: 34518
Tempo gasto: 0.000161200, Posição: 34584
Tempo gasto: 0.000162700, Posição: 34650
Tempo gasto: 0.000162300, Posição: 34716
Tempo gasto: 0.000162200, Posição: 34782
Tempo gasto: 0.000161700, Posição: 34848
Tempo gasto: 0.000162300, Posição: 34914
Tempo gasto: 0.000179000, Posição: 34980
Tempo gasto: 0.000162500, Posição: 35046
Tempo gasto: 0.000162100, Posição: 35112
Tempo gasto: 0.000163000, Posição: 35178
Tempo gasto: 0.000162400, Posição: 35244
Tempo gasto: 0.000164200, Posição: 35310
Tempo gasto: 0.000164800, Posição: 35376
Tempo gasto: 0.000164100, Posição: 35442
Tempo gasto: 0.000164900, Posição: 35508
Tempo gasto: 0.000166300, Posição: 35574
Tempo gasto: 0.000166100, Posição: 35640
Tempo gasto: 0.000165600, Posição: 35706
Tempo gasto: 0.000179500, Posição: 35772
Tempo gasto: 0.000166400, Posição: 35838
Tempo gasto: 0.000168300, Posição: 35904
Tempo gasto: 0.000168300, Posição: 35970
Tempo gasto: 0.000168200, Posição: 36036
Tempo gasto: 0.000167700, Posição: 36102
Tempo gasto: 0.000168200, Posição: 36168
Tempo gasto: 0.000167700, Posição: 36234
Tempo gasto: 0.000254300, Posição: 36300
Tempo gasto: 0.000170500, Posição: 36366
Tempo gasto: 0.000168400, Posição: 36432
Tempo gasto: 0.000180800, Posição: 36498
Tempo gasto: 0.000167600, Posição: 36564
Tempo gasto: 0.000168000, Posição: 36630
Tempo gasto: 0.000167500, Posição: 36696
Tempo gasto: 0.000168200, Posição: 36762
Tempo gasto: 0.000168200, Posição: 36828
Tempo gasto: 0.000167900, Posição: 36894
Tempo gasto: 0.000167900, Posição: 36960
Tempo gasto: 0.000168500, Posição: 37026
Tempo gasto: 0.000168000, Posição: 37092
Tempo gasto: 0.000169200, Posição: 37158
Tempo gasto: 0.000169500, Posição: 37224
Tempo gasto: 0.000181100, Posição: 37290
Tempo gasto: 0.000169100, Posição: 37356
Tempo gasto: 0.000169500, Posição: 37422
Tempo gasto: 0.000171600, Posição: 37488
Tempo gasto: 0.000171200, Posição: 37554
Tempo gasto: 0.000171800, Posição: 37620
Tempo gasto: 0.000171800, Posição: 37686
Tempo gasto: 0.000171600, Posição: 37752
Tempo gasto: 0.000172800, Posição: 37818
Tempo gasto: 0.000173800, Posição: 37884
Tempo gasto: 0.000174300, Posição: 37950
Tempo gasto: 0.000186600, Posição: 38016
Tempo gasto: 0.000173400, Posição: 38082
Tempo gasto: 0.000174500, Posição: 38148
Tempo gasto: 0.000175000, Posição: 38214
Tempo gasto: 0.000175800, Posição: 38280
Tempo gasto: 0.000175500, Posição: 38346
Tempo gasto: 0.000175900, Posição: 38412
Tempo gasto: 0.000175500, Posição: 38478
Tempo gasto: 0.000175800, Posição: 38544
Tempo gasto: 0.000176600, Posição: 38610
Tempo gasto: 0.000176600, Posição: 38676
Tempo gasto: 0.000188700, Posição: 38742
Tempo gasto: 0.000176500, Posição: 38808
Tempo gasto: 0.000177900, Posição: 38874
Tempo gasto: 0.000178800, Posição: 38940
Tempo gasto: 0.000178200, Posição: 39006
Tempo gasto: 0.000179500, Posição: 39072
Tempo gasto: 0.000180600, Posição: 39138
Tempo gasto: 0.000221500, Posição: 39204
Tempo gasto: 0.000196900, Posição: 39270
Tempo gasto: 0.000211800, Posição: 39336
Tempo gasto: 0.000207700, Posição: 39402
Tempo gasto: 0.000196200, Posição: 39468
Tempo gasto: 0.000181400, Posição: 39534
Tempo gasto: 0.000182400, Posição: 39600
Tempo gasto: 0.000182900, Posição: 39666
Tempo gasto: 0.000183700, Posição: 39732
